Полное наименование лицензиата;Сокращенное наименование;Организационно-правовая форма;Адрес места нахождения;ОГРН;ИНН;Номер телефона;Адрес электронной почты;Регион
"Общество с ограниченной ответственностью ""Инфотелеком СП""";"ООО ""Инфотелеком СП""";Общества с ограниченной ответственностью;141305, МОСКОВСКАЯ ОБЛАСТЬ, СЕРГИЕВ ПОСАД Г., УЛ. КИРПИЧНАЯ, Д. 31, ПОМЕЩ. 164;1025005333231;5042065961;+7-496-552-22-01;infotelecom@lansp.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОТЕЛЕКОМ""";"ООО ""ИНФОТЕЛЕКОМ""";Общества с ограниченной ответственностью;184511, МУРМАНСКАЯ ОБЛАСТЬ, Г МОНЧЕГОРСК, УЛ ЖЕЛЕЗНОДОРОЖНАЯ, Д.1;1025100654996;5107020425;8 (815 36) 305-75;ivanovauo@work.montv.ru;мурманская область
"Общество с ограниченной ответственностью ""Инфотелеком-плюс""";"ООО ""Инфотелеком-плюс""";Общества с ограниченной ответственностью;141305, МОСКОВСКАЯ ОБЛАСТЬ, СЕРГИЕВ ПОСАД Г., УЛ. КИРПИЧНАЯ, Д. 31, КВ. 165;1065038036436;5042089514;+7 (496) 552-22-01;infotelecom@lansp.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОТЕХ""";"ООО ""ИНФОТЕХ""";Общества с ограниченной ответственностью;443030, САМАРСКАЯ ОБЛАСТЬ, городской округ САМАРА, ВН.Р-Н Г.О. ЖЕЛЕЗНОДОРОЖНЫЙ, Г САМАРА, УЛ УРИЦКОГО, Д. 19, КОМ. 22;1176313076158;6316237663;+7 (846) 321-07-70;infoteh63@yandex.ru;самарская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОТЕХ""";"ООО ""ИНФОТЕХ""";Общества с ограниченной ответственностью;107140, Г.МОСКВА, ТУП. БОЛЬШОЙ КРАСНОПРУДНЫЙ, Д. 8/12, ПОМЕЩ. 2 КОМ 4 ОФ 49 ЭТ 0;1197746458733;7708355500;+7 925 610-85-10;17708355500@gmail.com;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОТЕХ""";"ООО ""ИНФОТЕХ""";Общества с ограниченной ответственностью;195213, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ МАЛАЯ ОХТА, ПР-КТ ЭНЕРГЕТИКОВ, Д. 3, ЛИТЕРА Б, ПОМЕЩ. 3/01;1057813010243;7806326642;+7 (812) 640-88-22;office@liner.pro;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОТЕХСТРОЙ""";"ООО ""ИНФОТЕХСТРОЙ""";Общества с ограниченной ответственностью;295048, РЕСПУБЛИКА КРЫМ, городской округ СИМФЕРОПОЛЬ, Г СИМФЕРОПОЛЬ, УЛ РУССКАЯ, Д. 168/41;1199112014420;9102258397;+7 918 174 03 52;admin@its.net.ru;республика крым
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОТЭК ИНЖИНИРИНГ""";"ООО ""ИНФОТЭК ИНЖИНИРИНГ""";Общества с ограниченной ответственностью;614064, ПЕРМСКИЙ КРАЙ, городской округ ПЕРМСКИЙ, Г ПЕРМЬ, УЛ ЧКАЛОВА, Д. 9И;1085902007058;5902165553;+7 342 257-66-93;info@in4tek.ru;пермский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОФОРС""";"ООО ""ИНФОФОРС""";Общества с ограниченной ответственностью;344064, РОСТОВСКАЯ ОБЛАСТЬ, городской округ ГОРОД РОСТОВ-НА-ДОНУ, Г РОСТОВ-НА-ДОНУ, УЛ ВАВИЛОВА, ЗД. 56/4, СТР. 3, ОФИС 106;1126165000521;6165173292;(863) 273-20-08;infoforce@infoforce.ru;ростовская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОЦЕНТР""";"ООО ""ИНФОЦЕНТР""";Общества с ограниченной ответственностью;665460, ИРКУТСКАЯ ОБЛАСТЬ, Г УСОЛЬЕ-СИБИРСКОЕ, УЛ ЛУНАЧАРСКОГО, ЗД. 16А;1093819000505;3819022242;+8 395 436-45-18;kendzhaev@yandex.ru;иркутская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФРАСТРУКТУРА К""";"ООО ""ИНФРАСТРУКТУРА К""";Общества с ограниченной ответственностью;186660, РЕСПУБЛИКА КАРЕЛИЯ, муниципальный район ЛОУХСКИЙ, Г.П. ЛОУХСКОЕ, ПГТ ЛОУХИ, УЛ ЮРИЯ ЖАРОВИНА, Д. 7А, ЭТАЖ 2, ПОМЕЩ. 1;1231000000032;1000006100;8-985-765-96-53;dmitr-b@yandex.ru;республика карелия
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФРАСТРУКТУРНЫЕ РЕШЕНИЯ""";"ООО ""ИНФРАСТРУКТУРНЫЕ РЕШЕНИЯ""";Общества с ограниченной ответственностью;660004, КРАСНОЯРСКИЙ КРАЙ, городской округ ГОРОД КРАСНОЯРСК, Г КРАСНОЯРСК, УЛ 26 БАКИНСКИХ КОМИССАРОВ, Д. 8, ПОМЕЩ. 421;1152468026501;2466162473;+7-391-272-32-87;office@sibintel.com;красноярский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФРОНЕТ-ТЕЛЕКОМ""";"ООО ""ИНФРОНЕТ-ТЕЛЕКОМ""";Общества с ограниченной ответственностью;, МОСКОВСКАЯ ОБЛАСТЬ, городской округ РЕУТОВ, Г РЕУТОВ, УЛ ТРАНСПОРТНАЯ, Д. 7-Б, ЭТАЖ 2, КОМ. 7;1185053044956;5041208208;(495)-134-34-50;info@infronet.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФФИН""";"ООО ""ИНФФИН""";Общества с ограниченной ответственностью;141103, МОСКОВСКАЯ ОБЛАСТЬ, Г. ЩЁЛКОВО, УЛ. ЦИОЛКОВСКОГО, Д. 3, ПОМЕЩ. I;1147748158711;7716074172;+7 (496) 253-39-01;inffin@infolink.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЭТ""";"ООО ""ИНЭТ""";Общества с ограниченной ответственностью;299004, Г.СЕВАСТОПОЛЬ, УЛ. АДМИРАЛА МАКАРОВА, Д. 7, КВ. 33;1159204007665;9203536121;(978)044-85-20;inet.rf@mail.ru;г.севастополь
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИОЛО""";"ООО ""ИОЛО""";Общества с ограниченной ответственностью;344000, РОСТОВСКАЯ ОБЛАСТЬ, Г РОСТОВ-НА-ДОНУ, ПР-КТ ЧЕХОВА, ЗД. 71/187, ЭТ/ПОМ 2/23;1206100029200;6163220589;(800) 201-10-20;at@iolo.ru;ростовская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИОН""";"ООО ""ИОН""";Общества с ограниченной ответственностью;446442, САМАРСКАЯ ОБЛАСТЬ, Г КИНЕЛЬ, ПГТ УСТЬ-КИНЕЛЬСКИЙ, УЛ ШОССЕЙНАЯ, Д. 85А, КВАРТИРА 3;1126350000369;6350019337;+7-963-117-63-63;dir@ion63.ru;самарская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИОНИТ-ТЕЛЕКОМ""";"ООО ""ИОНИТ-ТЕЛЕКОМ""";Общества с ограниченной ответственностью;164512, АРХАНГЕЛЬСКАЯ ОБЛАСТЬ, муниципальный округ ГОРОД СЕВЕРОДВИНСК, Г СЕВЕРОДВИНСК, Ш АРХАНГЕЛЬСКОЕ, Д. 77, ПОМЕЩ. 45;1022900840456;2902044708;+7 911 438-88-58;elklementeva@akbalance.ru;архангельская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРАФ-ФМ""";"ООО ""ИРАФ-ФМ""";Общества с ограниченной ответственностью;362047, РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ, Г. ВЛАДИКАВКАЗ, УЛ. ВЕСЕННЯЯ, Д. 8, КВ. 14;1181513006949;1513072725;8 989 133 1307;gamaev-eduard@mail.ru;республика северная осетия - алания
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРБИС ТЕЛЕКОМ КРАСНОДАР""";"ООО ""ИТК""";Общества с ограниченной ответственностью;350018, КРАСНОДАРСКИЙ КРАЙ, городской округ ГОРОД КРАСНОДАР, Г КРАСНОДАР, УЛ СОРМОВСКАЯ, Д. 7, ПОМЕЩ. 11, ПОМЕЩ. 12;1212300002144;2312297858;+7 (861) 200-68-17;itk@irbisnet.ru;краснодарский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРБИС ТЕЛЕКОММУНИКЕЙШНС""";"ООО ""ИРБИС ТЕЛЕКОМ""";Общества с ограниченной ответственностью;350018, КРАСНОДАРСКИЙ КРАЙ, Г. КРАСНОДАР, УЛ. СОРМОВСКАЯ, Д. 7, ЛИТЕР Д,Д1, КАБИНЕТ 31;1022301977455;2312023790;+7 (861) 200-06-00;v.kluev@irbisnet.ru;краснодарский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРБИТ ФМ""";"ООО ""ИРБИТ ФМ""";Общества с ограниченной ответственностью;623856, СВЕРДЛОВСКАЯ ОБЛАСТЬ, городской округ ГОРОД ИРБИТ, Г ИРБИТ, УЛ МАЛЬГИНА, Д. 14;1096611000090;6611012949;+7 (909) 020-56-00;sapegaer@yandex.ru;свердловская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРЕЛЬ""";"ООО ""ИРЕЛЬ""";Общества с ограниченной ответственностью;664033, ИРКУТСКАЯ ОБЛАСТЬ, Г. ИРКУТСК, УЛ. ЛЕРМОНТОВА, Д.335, К.Б, 1;1023801753051;3812002769;+7 (914) 899-19-90;ireltv@bk.ru;иркутская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРИДИУМ КОММЬЮНИКЕШЕНС""";"ООО ""ИРИДИУМ КОММЬЮНИКЕШЕНС""";Общества с ограниченной ответственностью;127018, Г.МОСКВА, УЛ. СКЛАДОЧНАЯ, Д. 1, СТР 18, ПОДЪЕЗД 3 ЭТ. 2, ОФ. 208;5087746698023;7715733344;(499) 995-10-33;office@iridium-russia.com;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРИДИУМ СЕРВИС""";"ООО ""ИРИДИУМ СЕРВИС""";Общества с ограниченной ответственностью;125167, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ХОРОШЕВСКИЙ, ПР-КТ ЛЕНИНГРАДСКИЙ, Д. 47, СТР. 2, ПОМЕЩ. 2/1;1127746217191;7715910473;+7-499-995-10-33;buh@iridium-russia.com;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРИС-ТЕЛ""";"ООО ""ИРИС-ТЕЛ""";Общественные движения;109029, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ НИЖЕГОРОДСКИЙ, УЛ СКОТОПРОГОННАЯ, Д. 29/1, ПОМЕЩ. XIV, 4-Й ПОДЪЕЗД, КОМ. 4;1147746797780;7731474954;7-495-748-48-38;info@iris-tel.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРСН""";"ООО ""ИРСН""";Общества с ограниченной ответственностью;664080, ИРКУТСКАЯ ОБЛАСТЬ, Г. ИРКУТСК, МКР. ТОПКИНСКИЙ, Д.76;1063808091874;3808135660;+7(3952)337301;gendir-ircn@yandex.ru;иркутская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРТЕК""";"ООО ""ИРТЕК""";Общества с ограниченной ответственностью;155251, ИВАНОВСКАЯ ОБЛАСТЬ, РОДНИКОВСКИЙ Р-Н, Г. РОДНИКИ, МКР ШАГОВА, Д.1;1053700009780;3721006621;8(49336) 2-37-89;rodniki-irtek@mail.ru;ивановская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРТЕЛКОМ""";"ООО ""ИРТЕЛКОМ""";Общества с ограниченной ответственностью;362031, РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ, Г. ВЛАДИКАВКАЗ, УЛ. КАЛИНИНА, Д. 2А;1021500581013;1502024744;+7 928 856-80-08;j.abaeva@irtelcom.ru;республика северная осетия - алания
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСАТЕЛ""";"ООО ""ИСАТЕЛ""";Общества с ограниченной ответственностью;121099, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ АРБАТ, ПЕР 2-Й СМОЛЕНСКИЙ, Д. 1/4;1037701923797;7701344620;+7 (495) 641-44-26;info@isatel.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСВ""";"ООО ""ИСВ""";Общества с ограниченной ответственностью;440514, ПЕНЗЕНСКАЯ ОБЛАСТЬ, муниципальный район ПЕНЗЕНСКИЙ, С.П. ЗАСЕЧНЫЙ СЕЛЬСОВЕТ, С ЗАСЕЧНОЕ, УЛ РАДУЖНАЯ, Д. 12, КВ. 51;1175835005554;5835122953;+7 (937) 436-44-44;isv@giga-grup.com;пензенская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКАТЕЛЬ""";"ООО ""ИСКАТЕЛЬ""";Общества с ограниченной ответственностью;652878, КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС, муниципальный округ МЕЖДУРЕЧЕНСКИЙ, Г МЕЖДУРЕЧЕНСК, ПР-КТ 50 ЛЕТ КОМСОМОЛА, Д. 35А, КВ. 15;1214200009902;4214041650;+7 (903) 945-9194;iskatel.2021@mail.ru;кемеровская область - кузбасс
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-ВОСКРЕСЕНСКОЕ ЭФИРНО-КАБЕЛЬНОЕ ТЕЛЕВИДЕНИЕ""";"ООО ""ИСКРА - ВЭКТ""";Общества с ограниченной ответственностью;140200, МОСКОВСКАЯ ОБЛАСТЬ, городской округ ВОСКРЕСЕНСК, Г ВОСКРЕСЕНСК, УЛ ВОКЗАЛЬНАЯ, ЗД. 8А;1025000927940;5005034228;+7 (496) 444-83-00;iskra@woskresensk.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-Д""";"ООО ""ИСКРА-Д""";Общества с ограниченной ответственностью;361336, КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА, муниципальный район УРВАНСКИЙ, Г.П. НАРТКАЛА, Г НАРТКАЛА, УЛ ГОРЬКОГО, Д. 27;1020502629817;0562051370;8 (928) 075-74-77;Iskra-dz@mail.ru;кабардино-балкарская республика
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСП ""ГИПЕРКОМ""";"ООО ""ИСП ""ГИПЕРКОМ""";Общества с ограниченной ответственностью;295015, РЕСПУБЛИКА КРЫМ, Г СИМФЕРОПОЛЬ, УЛ ОБЪЕЗДНАЯ, ЗД. 10;1149102056003;9102032167;+7-989-826-99-96;support@gipercom.net;республика крым
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСП ИНКО-НЭТ""";"ООО ""ИСП ИНКО-НЭТ""";Общества с ограниченной ответственностью;295053, РЕСПУБЛИКА КРЫМ, Г СИМФЕРОПОЛЬ, УЛ КОЦЮБИНСКОГО, Д. 53, ЛИТЕР А;1149102034135;9102021905;+7(978)9380777;a@inko-net.ru;республика крым
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСС""";"ООО ""ИСС""";Общества с ограниченной ответственностью;344037, РОСТОВСКАЯ ОБЛАСТЬ, Г. РОСТОВ-НА-ДОНУ, УЛ. 26-Я ЛИНИЯ, Д. 21А, ОФИС 105;1076166004200;6166063567;+7 (863) 282-90-00;alexey@i-c-n.ru;ростовская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСТ.НЕТ""";"ООО ""ИСТ.НЕТ""";Общества с ограниченной ответственностью;283092, ДОНЕЦКАЯ НАРОДНАЯ РЕСПУБЛИКА, городской округ ДОНЕЦК, Г. ДОНЕЦК, УЛ. 230-Й СТРЕЛКОВОЙ ДИВИЗИИ, Д. 9;1239300010058;9308024410;+7 949 348-79-94;east.net@internet.ru;донецкая народная республика
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСТОК""";"ООО ""ИСТОК""";Общества с ограниченной ответственностью;633216, НОВОСИБИРСКАЯ ОБЛАСТЬ, ИСКИТИМСКИЙ Р-Н, РП. ЛИНЕВО, ПР-КТ КОММУНИСТИЧЕСКИЙ, Д.5/4, 38/1;1025404670928;5443117198;(383-43) 33-587, (903)543-05-46;istok_kassa@mail.ru;новосибирская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСТОК""";"ООО ""ИСТОК""";Общества с ограниченной ответственностью;663600, КРАСНОЯРСКИЙ КРАЙ, Г. КАНСК, УЛ. РЕВОЛЮЦИИ, Д. 20, СТР. 5;1022401359452;2450014624;(39161)29-800, 3-20-22;istok@istokk.ru;красноярский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСТОКИ""";"ООО ""ИСТОКИ""";Общества с ограниченной ответственностью;302040, ОРЛОВСКАЯ ОБЛАСТЬ, Г. ОРЁЛ, УЛ. ЛЕСКОВА, Д.19А;1025700830451;5753018334;+7 486 241-44-38;a@istoki.tv;орловская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСТРА.НЕТ""";"ООО ""ИСТРА.НЕТ""";Общества с ограниченной ответственностью;143500, МОСКОВСКАЯ ОБЛАСТЬ, муниципальный округ ИСТРА, Д ВЕЛЬЯМИНОВО, ЗД. 43А, ПОМЕЩ. 2;1035003054129;5017040995;(498) 316-44-44;info@istranet.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСТРАНЕТ""";"ООО ""ИСТРАНЕТ""";Общества с ограниченной ответственностью;143591, МОСКОВСКАЯ ОБЛАСТЬ, муниципальный округ ИСТРА, С РОЖДЕСТВЕНО, Б-Р СИРЕНЕВЫЙ, Д. 2, ПОМЕЩ. 11;1035003060971;5017050577;(498) 316-44-44;info@istranet.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСТРАНЕТ-МАРКЕТ""";"ООО ""ИСТРАНЕТ-МАРКЕТ""";Общества с ограниченной ответственностью;143500, МОСКОВСКАЯ ОБЛАСТЬ, ИСТРА Г, УЛ ГЛАВНОГО КОНСТРУКТОРА В.И.АДАСЬКО, Д. 2;1085017006238;5017081060;+7 (916) 781-54-40;pravo@istranet.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСФОРС РУС""";"ООО ""ИСФОРС РУС""";Общества с ограниченной ответственностью;127434, Г.МОСКВА, Ш. ДМИТРОВСКОЕ, Д. 27, К. 1, ЭТАЖ 1 КОМН. 54;1117746592468;7715877226;8-495-789-42-47;m.azarenko@esforce.com;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ БИЗНЕС""";"ООО ""ИТ БИЗНЕС""";Общества с ограниченной ответственностью;115487, Г.МОСКВА, УЛ. АКАДЕМИКА МИЛЛИОНЩИКОВА, Д.17, 117;1117746000855;7724774072;(499)519-67-89;bav@chudotelecom.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ И ТЕЛЕКОМ""";"ООО ""ИТ И ТЕЛЕКОМ""";Общества с ограниченной ответственностью;630090, НОВОСИБИРСКАЯ ОБЛАСТЬ, городской округ ГОРОД НОВОСИБИРСК, Г НОВОСИБИРСК, УЛ НИКОЛАЕВА, Д. 11, ОФИС 103;1135476023539;5407483463;8 (383) 277-00-77;info@ittelecom.ru;новосибирская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ МАГИСТР""";"ООО ""ИТ МАГИСТР""";Общества с ограниченной ответственностью;620063, СВЕРДЛОВСКАЯ ОБЛАСТЬ, городской округ ГОРОД ЕКАТЕРИНБУРГ, Г ЕКАТЕРИНБУРГ, УЛ ДЕКАБРИСТОВ, Д. 69, ОФИС 426;1086671008379;6671260470;343 3762717;reception@scm.ru;свердловская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ ОПТИЛАЙН""";"ООО ""ИТ ОПТИЛАЙН""";Общества с ограниченной ответственностью;624760, СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г. ВЕРХНЯЯ САЛДА, УЛ. КИРОВА, Д.2, 3;1069607005710;6607010890;+7 (904) 388-07-24;optiline-vs@mail.ru;свердловская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ ОСОБА""";"ООО ""ИТ ОСОБА""";Общества с ограниченной ответственностью;142115, МОСКОВСКАЯ ОБЛАСТЬ, Г. ПОДОЛЬСК, УЛ. ПРАВДЫ, Д. 28, К. ГЛАВНЫЙ, ПОМЕЩ. 26;1095074001110;5036096263;8 (499) 403-31-48;info@itosoba.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ ПЛАТФОРМА""";"ООО ""ИТП""";Общества с ограниченной ответственностью;119146, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ХАМОВНИКИ, ПР-КТ КОМСОМОЛЬСКИЙ, Д. 32, К. 2, ПОМЕЩ. 1/1;1197746402831;9731046751;8 (495) 532-25-23;info@itpdev.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ ПРО""";"ООО ""ИТ ПРО""";Общества с ограниченной ответственностью;385140, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), муниципальный район ТАХТАМУКАЙСКИЙ, Г.П. ЯБЛОНОВСКОЕ, ПГТ ЯБЛОНОВСКИЙ, УЛ СОВХОЗНАЯ, Д. 6, КВ. 16;1230100000514;0100004200;+7 (961) 523-80-09;it-pro-90@mail.ru;республика адыгея (адыгея)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ СИСТЕМЫ""";"ООО ""ИТ СИСТЕМЫ""";Общества с ограниченной ответственностью;667000, РЕСПУБЛИКА ТЫВА, Г. КЫЗЫЛ, УЛ. КОЧЕТОВА, Д. 55/2, ОФИС 40;1021700508840;1701032725;(394-22) 2-38-50;operriva@mail.ru;республика тыва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ ТЕЛЕКОМ""";"ООО ""ИТ ТЕЛЕКОМ""";Общества с ограниченной ответственностью;663491, КРАСНОЯРСКИЙ КРАЙ, КЕЖЕМСКИЙ Р-Н, Г. КОДИНСК, УЛ. КОЛЕСНИЧЕНКО, Д.12, 3;1082420000190;2420071456;+7(39143) 2-20-80;it-telecom@inbox.ru;красноярский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ ТЕХНОЛОГИЕН""";"ООО ""ИТ ТЕХНОЛОГИЕН""";Общества с ограниченной ответственностью;117105, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ДОНСКОЙ, Ш ВАРШАВСКОЕ, Д. 1А, ПОМЕЩ. 3К/1П;1065040041032;5040073491;8 (495) 788-77-05;info@it-t.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ""";"ООО ""ИТ""";Общества с ограниченной ответственностью;628406, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, Г. СУРГУТ, УЛ. 30 ЛЕТ ПОБЕДЫ, Д. 56, К. 2;1198617006312;8602292274;8 (3462) 55-55-58;it-net@safecity.su;ханты-мансийский автономный округ - югра
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ""";"ООО ""ИТ""";Общества с ограниченной ответственностью;352901, КРАСНОДАРСКИЙ КРАЙ, городской округ ГОРОД АРМАВИР, Г АРМАВИР, УЛ КИРОВА, Д. 29, ПОМЕЩ. 25-35;1072302001023;2302054831;+8 (861) 372-72-05;bleaks@mail.ru;краснодарский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-АПГРЕЙД""";"ООО ""ИТ-АПГРЕЙД""";Общества с ограниченной ответственностью;190121, Г.САНКТ-ПЕТЕРБУРГ, ПР-КТ ЛЕРМОНТОВСКИЙ, Д. 1/44, ЛИТЕР А, ОФИС 324;1187847304787;7839108520;+7 963 321 4053;info@it-upgrade.su;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-ГРУПП""";"ООО ""ИТ-ГРУПП""";Общества с ограниченной ответственностью;614000, ПЕРМСКИЙ КРАЙ, городской округ ПЕРМСКИЙ, Г ПЕРМЬ, УЛ КУЙБЫШЕВА, Д. 10, ПОДЪЕЗД 2;1105902007661;5902174893;+7 (342) 270-11-22;kraskin@permkray.ru;пермский край
